season,week,rule,k_elim,N,rho_orig,rho_prop,w_t,bottom2_prop,elim_prop_1,actual_elim
2,1,RANK,1,10,0.6969696969696969,0.5272727272727272,0.4,"['Kenny Mayne', 'Master P']",Master P,['Kenny Mayne']
2,2,RANK,1,9,0.8499999999999999,0.7666666666666667,0.4285714285714286,"[""Tatum O'Neal"", 'Master P']",Master P,"[""Tatum O'Neal""]"
2,3,RANK,1,8,0.8571428571428572,0.8095238095238096,0.45714285714285713,"['Master P', 'Giselle Fernandez']",Master P,['Giselle Fernandez']
2,4,RANK,1,7,0.8571428571428573,0.8571428571428573,0.4857142857142857,"['Master P', 'Tia Carrere']",Master P,['Master P']
2,5,RANK,1,6,0.942857142857143,0.942857142857143,0.5142857142857142,"['Tia Carrere', 'George Hamilton']",Tia Carrere,['Tia Carrere']
2,6,RANK,1,5,0.8999999999999998,0.8999999999999998,0.5428571428571428,"['George Hamilton', 'Lisa Rinna']",George Hamilton,['George Hamilton']
2,7,RANK,1,4,0.7999999999999999,0.7999999999999999,0.5714285714285714,"['Lisa Rinna', 'Jerry Rice']",Jerry Rice,['Lisa Rinna']
2,8,RANK,0,3,1.0,1.0,0.6,"['Stacy Keibler', 'Jerry Rice']",Jerry Rice,[]
27,1,PERCENT,1,13,0.9560439560439561,0.6428571428571429,0.4,"['Nikki Glaser', 'Danelle Umstead']",Nikki Glaser,['Nikki Glaser']
27,2,PERCENT,1,12,0.9720279720279721,0.5314685314685316,0.42500000000000004,"['Danelle Umstead', 'Nancy McKeon']",Danelle Umstead,['Danelle Umstead']
27,3,PERCENT,1,11,0.9727272727272729,0.6363636363636364,0.45,"['Nancy McKeon', 'John Schneider']",John Schneider,['Nancy McKeon']
27,4,PERCENT,1,10,0.9636363636363635,0.6121212121212121,0.475,"['John Schneider', 'Joe Amabile']",Joe Amabile,['Tinashe']
27,5,PERCENT,0,9,0.9500000000000001,0.6,0.5,"['John Schneider', 'Mary Lou Retton']",John Schneider,[]
27,6,PERCENT,1,9,0.9833333333333333,0.75,0.525,"['John Schneider', 'Mary Lou Retton']",John Schneider,['Mary Lou Retton']
27,7,PERCENT,2,8,0.9761904761904763,0.9047619047619048,0.55,"['John Schneider', 'DeMarcus Ware']",DeMarcus Ware,"['DeMarcus Ware', 'John Schneider']"
27,8,PERCENT,2,6,0.942857142857143,0.7142857142857143,0.575,"['Joe Amabile', 'Juan Pablo Di Pace']",Joe Amabile,"['Joe Amabile', 'Juan Pablo Di Pace']"
27,9,PERCENT,0,4,1.0,0.39999999999999997,0.6,"['Alexis Ren', 'Bobby Bones']",Bobby Bones,[]
