season,week,actual_elim,proposed_bottom2,proposed_judge_elim
4,2,Paulina Porizkova,"Shandi Finnessey,Clyde Drexler",Clyde Drexler
4,3,Shandi Finnessey,"Clyde Drexler,Shandi Finnessey",Clyde Drexler
4,4,Leeza Gibbons,"Clyde Drexler,Leeza Gibbons",Clyde Drexler
4,5,Clyde Drexler,"Clyde Drexler,Heather Mills",Clyde Drexler
4,6,Heather Mills,"John Ratzenberger,Heather Mills",John Ratzenberger
4,7,John Ratzenberger,"John Ratzenberger,Billy Ray Cyrus",Billy Ray Cyrus
4,8,Billy Ray Cyrus,"Billy Ray Cyrus,Ian Ziering",Billy Ray Cyrus
4,9,Ian Ziering,"Ian Ziering,Laila Ali",Ian Ziering
11,1,David Hasselhoff,"David Hasselhoff,Margaret Cho",David Hasselhoff
11,2,Michael Bolton,"Michael Bolton,Margaret Cho",Michael Bolton
11,3,Margaret Cho,"Margaret Cho,The Situation",Margaret Cho
11,4,The Situation,"The Situation,Florence Henderson",The Situation
11,5,Florence Henderson,"Florence Henderson,Audrina Patridge",Florence Henderson
11,6,Audrina Patridge,"Kurt Warner,Audrina Patridge",Kurt Warner
11,7,Rick Fox,"Rick Fox,Bristol Palin",Bristol Palin
11,8,Kurt Warner,"Kurt Warner,Bristol Palin",Bristol Palin
11,9,Brandy,"Brandy,Bristol Palin",Bristol Palin
